,patient,accuracy,classifier
808,41,0.9,LDA
809,41,0.9833333333333333,LDA
810,41,0.95,MLP
811,41,0.95,MLP
812,41,0.95,MLP
813,41,0.95,MLP
814,41,0.9166666666666666,MLP
815,41,0.95,MLP
816,41,0.9,MLP
817,41,0.9,MLP
818,41,0.9,MLP
819,41,0.9666666666666667,MLP
820,42,0.6666666666666666,LDA
821,42,0.7333333333333333,LDA
822,42,0.6166666666666667,LDA
823,42,0.7833333333333333,LDA
824,42,0.6,LDA
825,42,0.7333333333333333,LDA
826,42,0.6666666666666666,LDA
827,42,0.7166666666666667,LDA
828,42,0.7333333333333333,LDA
829,42,0.6666666666666666,LDA
830,42,0.6333333333333333,MLP
831,42,0.6833333333333333,MLP
832,42,0.7166666666666667,MLP
833,42,0.7,MLP
834,42,0.6833333333333333,MLP
835,42,0.6833333333333333,MLP
836,42,0.65,MLP
837,42,0.5833333333333334,MLP
838,42,0.6833333333333333,MLP
839,42,0.65,MLP
840,43,0.9,LDA
841,43,0.9166666666666666,LDA
842,43,0.9333333333333333,LDA
843,43,0.9333333333333333,LDA
844,43,0.9666666666666667,LDA
845,43,0.9166666666666666,LDA
846,43,0.9166666666666666,LDA
847,43,0.8666666666666667,LDA
848,43,0.95,LDA
849,43,0.9333333333333333,LDA
850,43,0.9166666666666666,MLP
851,43,0.8666666666666667,MLP
852,43,0.8833333333333333,MLP
853,43,0.9333333333333333,MLP
854,43,0.9666666666666667,MLP
855,43,0.85,MLP
856,43,0.9,MLP
857,43,0.8666666666666667,MLP
858,43,0.9666666666666667,MLP
859,43,0.95,MLP
860,44,0.7333333333333333,LDA
861,44,0.7,LDA
862,44,0.6333333333333333,LDA
863,44,0.6833333333333333,LDA
864,44,0.75,LDA
865,44,0.7333333333333333,LDA
866,44,0.7666666666666667,LDA
867,44,0.7833333333333333,LDA
868,44,0.7166666666666667,LDA
869,44,0.7166666666666667,LDA
870,44,0.75,MLP
871,44,0.7333333333333333,MLP
872,44,0.7333333333333333,MLP
873,44,0.75,MLP
874,44,0.7166666666666667,MLP
875,44,0.7833333333333333,MLP
876,44,0.75,MLP
877,44,0.8166666666666667,MLP
878,44,0.7,MLP
879,44,0.7333333333333333,MLP
